Rank,Root Domain,Linking Root Domains,Domain Authority
379,zendesk.com,449682,93
380,amazon.it,124377,93
381,utexas.edu,233855,93
382,google.ca,293619,93
383,engadget.com,403035,93
384,sciencedaily.com,287154,93
385,so-net.ne.jp,175305,92
386,sputniknews.com,135758,92
387,corriere.it,142916,92
388,axs.com,226241,92
389,airbnb.com,165559,92
390,sina.com.cn,1138949,92
391,thestar.com,185878,92
392,orange.fr,167424,92
393,discovery.com,223065,92
394,ebay.co.uk,207280,92
395,e-monsite.com,141273,92
396,slate.com,309108,92
397,thefreedictionary.com,191623,92
398,offset.com,741314,92
399,statista.com,177395,92
400,politico.com,204413,92
401,20minutos.es,121494,92
402,techradar.com,126306,92
403,merriam-webster.com,232069,92
404,adweek.com,163083,92
405,steamcommunity.com,181162,92
406,about.me,277605,92
407,ca.gov,370859,92
408,house.gov,230612,92
409,www.livejournal.com,2434226,92
410,pcmag.com,187322,92
411,cmu.edu,203191,92
412,inc.com,207019,92
413,coursera.org,133557,92
414,debian.org,330520,92
415,teamviewer.com,148631,92
416,history.com,185570,92
417,www.nhs.uk,179563,92
418,disney.go.com,166694,92
419,behance.net,665992,92
420,archives.gov,214455,92
421,mail.yahoo.com,170464,92
422,businesswire.com,228670,92
423,mystrikingly.com,235677,92
424,megaupload.com,247260,92
425,cbslocal.com,269481,92
426,intel.com,225653,92
427,greenpeace.org,149138,92
428,autodesk.com,125965,92
429,marketwatch.com,280803,92
430,csmonitor.com,169867,92
431,nbcnews.com,302782,92
432,sakura.ne.jp,361568,92
433,ameblo.jp,721132,92
434,interia.pl,152016,92
435,excite.co.jp,485564,92
436,dribbble.com,394914,92
437,wiley.com,432367,92
438,stuff.co.nz,137158,92
439,wiktionary.org,242361,92
440,amazon.in,132233,92
441,www.canalblog.com,390070,92
442,mozilla.com,201035,92
443,newyorker.com,318802,92
444,viagens.com.br,125659,92
445,sky.com,184412,92
446,rottentomatoes.com,196851,92
447,bitly.com,304566,92
448,thedailybeast.com,204696,92
449,lycos.com,715072,92
450,xing.com,404655,92
451,outlook.com,179265,92
452,zdnet.com,241409,92
453,irs.gov,252133,92
454,epa.gov,280889,92
455,tabelog.com,140103,92
456,answers.com,211177,92
457,prnewswire.com,301670,92
458,usgs.gov,196425,92
459,cocolog-nifty.com,182354,92
460,gutenberg.org,158813,92
461,ask.fm,241560,92
462,allaboutcookies.org,347954,92
463,amazon.ca,176218,92
464,broadcom.com,151784,92
465,answers.yahoo.com,188414,92
466,springer.com,341099,92
467,narod.ru,280243,92
468,daum.net,158397,92
469,entrepreneur.com,218010,92
470,indiegogo.com,216353,92
471,pastebin.com,174085,92
472,prezi.com,217219,92
473,feedproxy.google.com,756571,92
474,cia.gov,136295,92
475,arstechnica.com,212098,92
476,sports.yahoo.com,175688,92
477,espn.go.com,228563,92
478,newscientist.com,192243,92
479,scientificamerican.com,247058,92
480,psu.edu,272238,92
481,www.skyrock.com,10744517,92
482,qz.com,187992,92
483,ieee.org,185545,92
484,blog.fc2.com,422106,92
485,calendar.google.com,137037,92
486,imgur.com,1131423,92
487,discord.gg,161145,92
488,search.yahoo.com,376810,92
489,livescience.com,216583,92
490,viglink.com,271795,92
491,storage.canalblog.com,274545,92
492,eff.org,136410,92
493,redhat.com,181837,92
494,home.neustar,380797,92
495,thenextweb.com,169483,92
496,ustream.tv,252051,92
497,gesetze-im-internet.de,134395,92
498,kinja.com,198320,92
499,groups.yahoo.com,307356,92
500,calameo.com,149892,92
